PC Name,State ,Winner,Party,Year,PC NO
 Mumbai North  , Maharashtra  , Sanjay Brijkishorlal Nirupam  ,INC  ,2009,26
 Mumbai North West  , Maharashtra  , Ad.Kamat Gurudas Vasant  ,INC  ,2009,27
 Mumbai North East  , Maharashtra  , Sanjay Dina Patil  ,NCP,2009,28
 Mumbai North Central  , Maharashtra  , Dutt Priya Sunil  ,INC  ,2009,29
 Mumbai South Central  , Maharashtra  , Eknath M. Gaikwad  ,INC  ,2009,30
 Mumbai South  , Maharashtra  , Deora Milind Murli  ,INC  ,2009,31
 Raigad  , Maharashtra  , Anant Geete  ,SHS,2009,32
 Maval  , Maharashtra  , Babar Gajanan Dharmshi  ,SHS,2009,33
 Pune  , Maharashtra  , Kalmadi Suresh  ,INC  ,2009,34
 Baramati  , Maharashtra  , Supriya Sule  ,NCP,2009,35
 Shirur  , Maharashtra  , Adhalrao Shivaji Dattatray  ,SHS,2009,36
 Ahmadnagar  , Maharashtra  , Gandhi Dilipkumar Mansukhlal  ,BJP,2009,37
 Shirdi  , Maharashtra  , Wakchaure Bhausaheb Rajaram  ,SHS,2009,38
 Beed  , Maharashtra  , Munde Gopinathrao Pandurang  ,BJP,2009,39
 Osmanabad  , Maharashtra  , Patil Padamsinha Bajirao  ,NCP,2009,40
 Latur  , Maharashtra  , Awale Jaywant Gangaram  ,INC  ,2009,41
 Solapur  , Maharashtra  , Shinde Sushilkumar Sambhajirao  ,INC  ,2009,42
 Madha  , Maharashtra  , Pawar Sharadchandra Govindrao  ,NCP,2009,43
 Sangli  , Maharashtra  , Pratik Prakashbapu Patil  ,INC  ,2009,44
 Satara  , Maharashtra  ,  Bhonsle Shrimant Chh.  Udyanraje Pratapsinhmaharaj  ,NCP,2009,45
 Ratnagiri - Sindhudurg  , Maharashtra  , Dr.Nilesh Narayan Rane  ,INC  ,2009,46
 Kolhapur  , Maharashtra  , Sadashivrao Dadoba Mandlik  ,IND,2009,47
 Hatkanangle  , Maharashtra  , Shetti Raju Alias Devappa Anna  ,SWP,2009,48
 Chandni Chowk  , Nct Of Delhi  , Kapil Sibal  ,INC  ,2009,1
 North East Delhi  , Nct Of Delhi  , Jai Prakash Agarwal  ,INC  ,2009,2
 East Delhi  , Nct Of Delhi  , Sandeep Dikshit  ,INC  ,2009,3
 New Delhi  , Nct Of Delhi  , Ajay Makan  ,INC  ,2009,4
 North West Delhi  , Nct Of Delhi  , Krishna Tirath  ,INC  ,2009,5
 West Delhi  , Nct Of Delhi  , Mahabal Mishra  ,INC  ,2009,6
 South Delhi  , Nct Of Delhi  , Ramesh Kumar  ,INC  ,2009,7
 Bargarh  , Orissa  , Sanjay Bhoi  ,INC  ,2009,1
 Sundargarh  , Orissa  , Hemanand Biswal  ,INC  ,2009,2
 Sambalpur  , Orissa  , Amarnath Pradhan  ,INC  ,2009,3
 Keonjhar  , Orissa  , Yashbant Narayan Singh Laguri  ,BJD,2009,4
 Mayurbhanj  , Orissa  , Laxman Tudu  ,BJD,2009,5
 Balasore  , Orissa  , Srikant Kumar Jena  ,INC  ,2009,6
 Bhadrak  , Orissa  , Arjun Charan Sethi  ,BJD,2009,7
 Jajpur  , Orissa  , Mohan Jena  ,BJD,2009,8
 Dhenkanal  , Orissa  , Tathagata Satpathy  ,BJD,2009,9
 Bolangir  , Orissa  , Kalikesh Narayan Singh Deo  ,BJD,2009,10
 Kalahandi  , Orissa  , Bhakta Charan Das  ,INC  ,2009,11
 Nabarangpur  , Orissa  , Pradeep Kumar Majhi  ,INC  ,2009,12
 Kandhamal  , Orissa  , Rudramadhab Ray  ,BJD,2009,13
 Cuttack  , Orissa  , Bhartruhari Mahtab  ,BJD,2009,14
 Kendrapara  , Orissa  , Baijayant Panda  ,BJD,2009,15
 Jagatsinghpur  , Orissa  , Bibhu Prasad Tarai  ,CPI,2009,16
 Puri  , Orissa  , Pinaki Misra  ,BJD,2009,17
 Bhubaneswar  , Orissa  , Prasanna Kumar Patasani  ,BJD,2009,18
 Aska  , Orissa  , Nityananda Pradhan  ,BJD,2009,19
 Berhampur  , Orissa  , Sidhant Mohapatra  ,BJD,2009,20
 Koraput  , Orissa  , Jayaram Pangi  ,BJD,2009,21
 Gurdaspur  , Punjab  , Partap Singh Bajwa  ,INC  ,2009,1
 Amritsar  , Punjab  , Navjot Singh Sidhu  ,BJP,2009,2
 Khadoor Sahib  , Punjab  , Dr. Rattan Singh Ajnala  ,SAD,2009,3
 Jalandhar  , Punjab  , Mohinder Singh Kaypee  ,INC  ,2009,4
 Hoshiarpur  , Punjab  , Santosh Chowdhary  ,INC  ,2009,5
 Anandpur Sahib  , Punjab  , Ravneet Singh  ,INC  ,2009,6
 Ludhiana  , Punjab  , Manish Tewari  ,INC  ,2009,7
 Fatehgarh Sahib  , Punjab  , Sukhdev Singh  ,INC  ,2009,8
 Faridkot  , Punjab  , Paramjit Kaur Gulshan  ,SAD,2009,9
 Ferozpur  , Punjab  , Sher Singh Ghubaya  ,SAD,2009,10
 Bathinda  , Punjab  , Harsimrat Kaur Badal  ,SAD,2009,11
 Sangrur  , Punjab  , Vijay Inder Singla  ,INC  ,2009,12
 Patiala  , Punjab  , Preneet Kaur  ,INC  ,2009,13
 Ganganagar  , Rajasthan  , Bharat Ram Meghwal  ,INC  ,2009,1
 Bikaner  , Rajasthan  , Arjun Ram Meghwal  ,BJP,2009,2
 Churu  , Rajasthan  , Ram Singh Kaswan  ,BJP,2009,3
 Jhunjhunu  , Rajasthan  , Sheesh Ram Ola  ,INC  ,2009,4
 Sikar  , Rajasthan  , Mahadev Singh  ,INC  ,2009,5
 Jaipur Rural  , Rajasthan  , Lal Chand Kataria  ,INC  ,2009,6
 Jaipur  , Rajasthan  , Mahesh Joshi  ,INC  ,2009,7
 Alwar  , Rajasthan  , Jitendra Singh  ,INC  ,2009,8
 Bharatpur  , Rajasthan  , Ratan Singh  ,INC  ,2009,9
 Karauli-Dholpur  , Rajasthan  , Khiladi Lal Bairwa  ,INC  ,2009,10
 Dausa  , Rajasthan  , Kirodi Lal  ,IND,2009,11
Tonk-Sawai Madhopur, Rajasthan  ,Namo Narain,INC,2009,12
 Ajmer  , Rajasthan  , Sachin Pilot  ,INC  ,2009,13
 Nagaur  , Rajasthan  , Dr. Jyoti Mirdha  ,INC  ,2009,14
 Pali  , Rajasthan  , Badri Ram Jakhar  ,INC  ,2009,15
 Jodhpur  , Rajasthan  , Chandresh Kumari  ,INC  ,2009,16
 Barmer  , Rajasthan  , Harish Choudhary  ,INC  ,2009,17
 Jalore  , Rajasthan  , Devji Patel  ,BJP,2009,18
 Udaipur  , Rajasthan  , Raghuvir Singh Meena  ,INC  ,2009,19
 Banswara  , Rajasthan  , Tarachand Bhagora  ,INC  ,2009,20
 Chittorgarh  , Rajasthan  , (Dr.)girija Vyas  ,INC  ,2009,21
 Rajsamand  , Rajasthan  , Gopal Singh  ,INC  ,2009,22
 Bhilwara  , Rajasthan  , Dr. C. P. Joshi  ,INC  ,2009,23
 Kota  , Rajasthan  , Ijyaraj Singh  ,INC  ,2009,24
 Jhalawar-Baran  , Rajasthan  , Dushyant Singh  ,BJP,2009,25
 Thiruvallur  , Tamil Nadu  , Venugopal.P  ,ADMK,2009,1
 Chennai North  , Tamil Nadu  , Elangovan T.K.S  ,DMK,2009,2
 Chennai South  , Tamil Nadu  , Rajendran C  ,ADMK,2009,3
 Chennai Central  , Tamil Nadu  , Dayanidhi Maran  ,DMK,2009,4
 Sriperumbudur  , Tamil Nadu  , Baalu T R  ,DMK,2009,5
 Kancheepuram  , Tamil Nadu  , Viswanathan.P  ,INC  ,2009,6
 Arakkonam  , Tamil Nadu  , Jagathrakshakan  ,DMK,2009,7
 Vellore  , Tamil Nadu  , Abdulrahman  ,DMK,2009,8
 Krishnagiri  , Tamil Nadu  , Sugavanam. E.G.  ,DMK,2009,9
 Dharmapuri  , Tamil Nadu  , Thamaraiselvan. R  ,DMK,2009,10
 Tiruvannamalai  , Tamil Nadu  , Venugopal.D  ,DMK,2009,11
 Arani  , Tamil Nadu  , Krishnasamy M  ,INC  ,2009,12
 Viluppuram  , Tamil Nadu  , Anandan M  ,ADMK,2009,13
 Kallakurichi  , Tamil Nadu  , Sankar Adhi  ,DMK,2009,14
 Salem  , Tamil Nadu  , Semmalai S  ,ADMK,2009,15
 Namakkal  , Tamil Nadu  , Gandhiselvan.S  ,DMK,2009,16
 Erode  , Tamil Nadu  , Ganeshamurthi.A.  ,MDMK,2009,17
 Tiruppur  , Tamil Nadu  , Sivasami C  ,ADMK,2009,18
 Nilgiris  , Tamil Nadu  , Raja A  ,DMK,2009,19
 Coimbatore  , Tamil Nadu  , Natarajan.P.R.  ,CPM,2009,20
 Pollachi  , Tamil Nadu  , Sugumar.K  ,ADMK,2009,21
 Dindigul  , Tamil Nadu  , Chitthan N S V  ,INC  ,2009,22
 Karur  , Tamil Nadu  , Tambidurai.M  ,ADMK,2009,23
 Tiruchirappalli  , Tamil Nadu  , Kumar.P  ,ADMK,2009,24
 Perambalur  , Tamil Nadu  ," Napoleon,D.  ",DMK,2009,25
 Cuddalore  , Tamil Nadu  , Alagiri S  ,INC  ,2009,26
 Chidambaram  , Tamil Nadu  ," Thirumaavalavan, Thol  ",VCK ,2009,27
 Mayiladuthurai  , Tamil Nadu  , Manian O.S  ,ADMK,2009,28
 Nagapattinam  , Tamil Nadu  , Vijayan A K S  ,DMK,2009,29
 Thanjavur  , Tamil Nadu  , Palanimanickam.S.S  ,DMK,2009,30
 Sivaganga  , Tamil Nadu  , Chidambaram P  ,INC  ,2009,31
 Madurai  , Tamil Nadu  , Alagiri M.K  ,DMK,2009,32
 Theni  , Tamil Nadu  , Aaron Rashid.J.M  ,INC  ,2009,33
 Virudhunagar  , Tamil Nadu  , Manicka Tagore  ,INC  ,2009,34
 Ramanathapuram  , Tamil Nadu  , Sivakumar @ J.K. Ritheesh. K  ,DMK,2009,35
 Thoothukkudi  , Tamil Nadu  , Jeyadurai.S.R  ,DMK,2009,36
 Tenkasi  , Tamil Nadu  , Lingam P  ,CPI,2009,37
 Tirunelveli  , Tamil Nadu  , Ramasubbu S  ,INC  ,2009,38
 Kanniyakumari  , Tamil Nadu  , Helen Davidson J  ,DMK,2009,39
 Saharanpur  , Uttar Pradesh  , Jagdish Singh Rana  ,BSP,2009,1
 Kairana  , Uttar Pradesh  , Tabassum Begum  ,BSP,2009,2
 Muzaffarnagar  , Uttar Pradesh  , Kadir Rana  ,BSP,2009,3
 Bijnor  , Uttar Pradesh  , Sanjay Singh Chauhan  , RLD  ,2009,4
 Nagina  , Uttar Pradesh  , Yashvir Singh  ,SP  ,2009,5
 Moradabad  , Uttar Pradesh  , Mohammed Azharuddin  ,INC  ,2009,6
 Rampur  , Uttar Pradesh  , Jaya Prada Nahata  ,SP  ,2009,7
 Sambhal  , Uttar Pradesh  , Dr. Shafiqur Rahman Barq  ,BSP,2009,8
 Amroha  , Uttar Pradesh  , Devendra Nagpal  , RLD  ,2009,9
 Meerut  , Uttar Pradesh  , Rajendra Agarwal  ,BJP,2009,10
 Baghpat  , Uttar Pradesh  , Ajit Singh  , RLD  ,2009,11
 Ghaziabad  , Uttar Pradesh  , Rajnath Singh  ,BJP,2009,12
 Gautam Buddh Nagar  , Uttar Pradesh  , Surendra Singh Nagar  ,BSP,2009,13
 Bulandshahr  , Uttar Pradesh  , Kamlesh  ,SP  ,2009,14
 Aligarh  , Uttar Pradesh  , Raj Kumari Chauhan  ,BSP,2009,15
 Hathras  , Uttar Pradesh  , Sarika Singh  , RLD  ,2009,16
 Mathura  , Uttar Pradesh  , Jayant Chaudhary  , RLD  ,2009,17
 Agra  , Uttar Pradesh  , Dr. Ramshankar  ,BJP,2009,18
 Fatehpur Sikri  , Uttar Pradesh  , Seema Upadhyay  ,BSP,2009,19
 Firozabad  , Uttar Pradesh  , Akhilesh Yadav  ,SP  ,2009,20
 Mainpuri  , Uttar Pradesh  , Mulayam Singh Yadav  ,SP  ,2009,21
 Etah  , Uttar Pradesh  , Kalyan Singh R O Madholi  ,IND,2009,22
 Badaun  , Uttar Pradesh  , Dharmendra Yadav  ,SP  ,2009,23
 Aonla  , Uttar Pradesh  , Menka Gandhi  ,BJP,2009,24
 Bareilly  , Uttar Pradesh  , Praveen Singh Aron  ,INC  ,2009,25
 Pilibhit  , Uttar Pradesh  , Feroze Varun Gandhi  ,BJP,2009,26
 Shahjahanpur  , Uttar Pradesh  , Mithlesh  ,SP  ,2009,27
 Kheri  , Uttar Pradesh  , Zafar Ali Naqvi  ,INC  ,2009,28
 Dhaurahra  , Uttar Pradesh  , Kunwar Jitin Prasad  ,INC  ,2009,29
 Sitapur  , Uttar Pradesh  , Kaisar Jahan  ,BSP,2009,30
 Hardoi  , Uttar Pradesh  , Usha Verma  ,SP  ,2009,31
 Misrikh  , Uttar Pradesh  , Ashok Kumar Rawat  ,BSP,2009,32
 Unnao  , Uttar Pradesh  , Annutandon  ,INC  ,2009,33
 Mohanlalganj  , Uttar Pradesh  , Sushila Saroj  ,SP  ,2009,34
 Lucknow  , Uttar Pradesh  , Lal Ji Tandon  ,BJP,2009,35
 Rae Bareli  , Uttar Pradesh  , Sonia Gandhi  ,INC  ,2009,36
 Amethi  , Uttar Pradesh  , Rahul Gandhi  ,INC  ,2009,37
 Sultanpur  , Uttar Pradesh  , Dr.Sanjay Singh  ,INC  ,2009,38
 Pratapgarh  , Uttar Pradesh  , Rajkumari Ratna Singh  ,INC  ,2009,39
 Farrukhabad  , Uttar Pradesh  , Salman Khursheed  ,INC  ,2009,40
 Etawah  , Uttar Pradesh  , Premdas  ,SP  ,2009,41
 Kannauj  , Uttar Pradesh  , Akhilesh Yadav  ,SP  ,2009,42
 Kanpur  , Uttar Pradesh  , Sri Prakash Jaiswal  ,INC  ,2009,43
 Akbarpur  , Uttar Pradesh  , Rajaram Pal  ,INC  ,2009,44
 Jalaun  , Uttar Pradesh  , Ghansyam Anuragi  ,SP  ,2009,45
 Jhansi  , Uttar Pradesh  , Pradeep Kumar Jain (Aditya)  ,INC  ,2009,46
 Hamirpur  , Uttar Pradesh  , Vijay Bahadur Singh  ,BSP,2009,47
 Banda  , Uttar Pradesh  , R. K. Singh Patel  ,SP  ,2009,48
 Fatehpur  , Uttar Pradesh  , Rakesh Sachan  ,SP  ,2009,49
 Kaushambi  , Uttar Pradesh  , Shailendra Kumar  ,SP  ,2009,50
 Phulpur  , Uttar Pradesh  , Kapil Muni Karwariya  ,BSP,2009,51
 Allahabad  , Uttar Pradesh  , Kunwar Rewati Raman Singh Alias Mani Ji  ,SP  ,2009,52
 Barabanki  , Uttar Pradesh  , P.L.Punia  ,INC  ,2009,53
 Faizabad  , Uttar Pradesh  , Nirmal Khatri  ,INC  ,2009,54
 Ambedkar Nagar  , Uttar Pradesh  , Rakesh Pandey  ,BSP,2009,55
 Bahraich  , Uttar Pradesh  , Kamal Kishor  ,INC  ,2009,56
 Kaiserganj  , Uttar Pradesh  , Brijbhushan Sharan Singh  ,SP  ,2009,57
 Shrawasti  , Uttar Pradesh  , Vinay Kumar Alias Vinnu  ,INC  ,2009,58
 Gonda  , Uttar Pradesh  , Beni Prasad Verma  ,INC  ,2009,59
 Domariyaganj  , Uttar Pradesh  , Jagdambika Pal  ,INC  ,2009,60
 Basti  , Uttar Pradesh  , Arvind Kumar Chaudhary  ,BSP,2009,61
 Sant Kabir Nagar  , Uttar Pradesh  , Bhisma Shankar Alias Kushal Tiwari  ,BSP,2009,62
 Maharajganj  , Uttar Pradesh  , Harsh Vardhan  ,INC  ,2009,63
 Gorakhpur  , Uttar Pradesh  , Adityanath  ,BJP,2009,64
 Kushi Nagar  , Uttar Pradesh  , Ku. Ratanjeet Pratap Narayan Singh  ,INC  ,2009,65
 Deoria  , Uttar Pradesh  , Gorakh Prasad Jaiswal  ,BSP,2009,66
 Bansgaon  , Uttar Pradesh  , Kamlesh Paswan  ,BJP,2009,67
 Lalganj  , Uttar Pradesh  , Dr. Baliram  ,BSP,2009,68
 Azamgarh  , Uttar Pradesh  , Ramakant Yadav  ,BJP,2009,69
 Ghosi  , Uttar Pradesh  , Dara Singh Chauhan  ,BSP,2009,70
 Salempur  , Uttar Pradesh  , Ramashankar Rajbhar  ,BSP,2009,71
 Ballia  , Uttar Pradesh  , Neeraj Shekhar  ,SP  ,2009,72
 Jaunpur  , Uttar Pradesh  , Dhananjay Singh  ,BSP,2009,73
 Machhlishahr  , Uttar Pradesh  , Tufani Saroj  ,SP  ,2009,74
 Ghazipur  , Uttar Pradesh  , Radhey Mohan Singh  ,SP  ,2009,75
Chandauli, Uttar Pradesh  ,Ram Kishun,SP,2009,76
 Varanasi  , Uttar Pradesh  , Dr. Murli Manohar Joshi  ,BJP,2009,77
 Bhadohi  , Uttar Pradesh  , Gorakhnath  ,BSP,2009,78
 Mirzapur  , Uttar Pradesh  , Bal Kumar Patel  ,SP  ,2009,79
 Robertsganj  , Uttar Pradesh  , Pakauri Lal  ,SP  ,2009,80
 Tehri Garhwal  , Uttarakhand  , Vijay Bahuguna  ,INC  ,2009,1
 Garhwal  , Uttarakhand  , Satpal Maharaj  ,INC  ,2009,2
 Almora  , Uttarakhand  , Pradeep Tamta  ,INC  ,2009,3
 Nainital-Udhamsingh Nagar  , Uttarakhand  , K.C. Singh Baba  ,INC  ,2009,4
 Hardwar  , Uttarakhand  , Harish Rawat  ,INC  ,2009,5
 Cooch Behar  , West Bengal  , Nripendra Nath Roy  ,AIFB,2009,1
 Alipurduars  , West Bengal  , Manohar Tirkey  ,RSP,2009,2
 Jalpaiguri  , West Bengal  , Mahendra Kumar Roy  ,CPM,2009,3
 Darjeeling  , West Bengal  , Jaswant Singh  ,BJP,2009,4
 Raiganj  , West Bengal  , Deepa Dasmunsi  ,INC  ,2009,5
 Balurghat  , West Bengal  , Prasanta Kumar Majumdar  ,RSP,2009,6
 Maldaha Uttar  , West Bengal  , Mausam Noor  ,INC  ,2009,7
 Maldaha Dakshin  , West Bengal  , Abu Hasem Khan Choudhury  ,INC  ,2009,8
 Jangipur  , West Bengal  , Pranab Mukherjee  ,INC  ,2009,9
 Baharampur  , West Bengal  , Adhir Ranjan Chowdhury  ,INC  ,2009,10
 Murshidabad  , West Bengal  , Abdul Mannan Hossain  ,INC  ,2009,11
 Krishnanagar  , West Bengal  , Tapas Paul  ,AITC,2009,12
 Ranaghat  , West Bengal  , Sucharu Ranjan Haldar  ,AITC,2009,13
 Bangaon  , West Bengal  , Gobinda Chandra Naskar  ,AITC,2009,14
 Barrackpore  , West Bengal  , Dinesh Trivedi  ,AITC,2009,15
 Dum Dum  , West Bengal  , Saugata Ray  ,AITC,2009,16
 Barasat  , West Bengal  , Kakali Ghosh Dastidar  ,AITC,2009,17
 Basirhat  , West Bengal  , Sk. Nurul Islam  ,AITC,2009,18
 Joynagar  , West Bengal  , Dr. Tarun Mondal  ,IND,2009,19
 Mathurapur  , West Bengal  , Choudhury Mohan Jatua  ,AITC,2009,20
 Diamond Harbour  , West Bengal  , Somendra Nath Mitra  ,AITC,2009,21
 Jadavpur  , West Bengal  , Kabir Suman  ,AITC,2009,22
 Kolkata Dakshin  , West Bengal  , Mamata Banerjee  ,AITC,2009,23
 Kolkata Uttar  , West Bengal  , Sudip Bandyopadhyay  ,AITC,2009,24
 Howrah  , West Bengal  , Ambica Banerjee  ,AITC,2009,25
 Uluberia  , West Bengal  , Sultan Ahmed  ,AITC,2009,26
 Srerampur  , West Bengal  , Kalyan Banerjee  ,AITC,2009,27
 Hooghly  , West Bengal  , Dr. Ratna De(Nag)  ,AITC,2009,28
 Arambagh  , West Bengal  , Malik Sakti Mohan  ,CPM,2009,29
 Tamluk  , West Bengal  , Adhikari Suvendu  ,AITC,2009,30
 Kanthi  , West Bengal  , Adhikari Sisir Kumar  ,AITC,2009,31
 Ghatal  , West Bengal  , Gurudas Dasgupta  ,CPI,2009,32
 Jhargram  , West Bengal  , Pulin Bihari Baske  ,CPM,2009,33
 Medinipur  , West Bengal  , Prabodh Panda  ,CPI,2009,34
 Purulia  , West Bengal  , Narahari Mahato  ,AIFB,2009,35
 Bankura  , West Bengal  , Acharia Basudeb  ,CPM,2009,36
 Bishnupur  , West Bengal  , Susmita Bauri  ,CPM,2009,37
 Bardhaman Purba  , West Bengal  , Anup Kumar Saha  ,CPM,2009,38
 Burdwan - Durgapur  , West Bengal  , Sk. Saidul Haque  ,CPM,2009,39
 Asansol  , West Bengal  , Bansa Gopal Chowdhury  ,CPM,2009,40
 Bolpur  , West Bengal  , Doctor Ram Chandra Dome  ,CPM,2009,41
 Birbhum  , West Bengal  , Satabdi Roy  ,AITC,2009,42
