ADILABAD,Andhra
AMALAPURAM (SC),Andhra
ANAKAPALLI,Andhra
ANANTAPUR,Andhra
BAPATLA,Andhra
BHADRACHALAM (ST),Andhra
BOBBILI,Andhra
CHITTOOR,Andhra
CUDDAPAH,Andhra
ELURU,Andhra
GUNTUR,Andhra
HANAMKONDA,Andhra
HINDUPUR,Andhra
HYDERABAD,Andhra
KAKINADA,Andhra
KARIMNAGAR,Andhra
KHAMMAM,Andhra
KURNOOL,Andhra
MACHILIPATNAM,Andhra
MAHABUBNAGAR,Andhra
MEDAK,Andhra
MIRYALGUDA,Andhra
NAGARKURNOOL (SC),Andhra
NALGONDA,Andhra
NANDYAL,Andhra
NARASAPUR,Andhra
NARASARAOPET,Andhra
NELLORE (SC),Andhra
NIZAMABAD,Andhra
ONGOLE,Andhra
PARVATHIPURAM (ST),Andhra
PEDDAPALLI (SC),Andhra
RAJAHMUNDRY,Andhra
RAJAMPET,Andhra
SECUNDERABAD,Andhra
SIDDIPET (SC),Andhra
SRIKAKULAM,Andhra
TENALI,Andhra
TIRUPATHI (SC),Andhra
VIJAYAWADA,Andhra
VISAKHAPATNAM,Andhra
WARANGAL,Andhra
ARARIA (SC),Bihar
ARRAH,Bihar
AURANGABAD,Bihar
BAGAHA (SC),Bihar
BALIA,Bihar
BANKA,Bihar
BARH,Bihar
BEGUSARAI,Bihar
BETTIAH,Bihar
BHAGALPUR,Bihar
BIKRAMGANJ,Bihar
BUXAR,Bihar
CHAPRA,Bihar
CHATRA,Bihar
DARBHANGA,Bihar
DHANBAD,Bihar
DUMKA (ST),Bihar
GAYA (SC),Bihar
GIRIDIH,Bihar
GODDA,Bihar
GOPALGANJ,Bihar
HAJIPUR (SC),Bihar
HAZARIBAGH,Bihar
JAHANABAD,Bihar
JAMSHEDPUR,Bihar
JHANJHARPUR,Bihar
KATIHAR,Bihar
KHAGARIA,Bihar
KHUNTI (ST),Bihar
KISHANGANJ,Bihar
KODARMA,Bihar
LOHARDAGA (ST),Bihar
MADHEPURA,Bihar
MADHUBANI,Bihar
MAHARAJGANJ,Bihar
MONGHYR,Bihar
MOTIHARI,Bihar
MUZAFFARPUR,Bihar
NALANDA,Bihar
NAWADA (SC),Bihar
PALAMAU (SC),Bihar
PATNA,Bihar
PURNEA,Bihar
RAJMAHAL (ST),Bihar
RANCHI,Bihar
ROSERA (SC),Bihar
SAHARSA,Bihar
SAMASTIPUR,Bihar
SASARAM (SC),Bihar
SHEOHAR,Bihar
SINGHBHUM (ST),Bihar
SITAMARHI,Bihar
SIWAN,Bihar
VAISHALI,Bihar
CHANDNI CHOWK,Delhi
DELHI SADAR,Delhi
EAST DELHI,Delhi
KAROL BAGH (SC),Delhi
NEW DELHI,Delhi
OUTER DELHI,Delhi
SOUTH DELHI,Delhi
AHMEDABAD,Gujarat
AMRELI,Gujarat
ANAND,Gujarat
BANASKANTHA,Gujarat
BARODA,Gujarat
BHAVNAGAR,Gujarat
BROACH,Gujarat
BULSAR (ST),Gujarat
CHHOTA UDAIPUR (ST),Gujarat
DHANDHUKA (SC),Gujarat
DOHAD (ST),Gujarat
GANDHINAGAR,Gujarat
GODHRA,Gujarat
JAMNAGAR,Gujarat
JUNAGADH,Gujarat
KAIRA,Gujarat
KAPADVANJ,Gujarat
KUTCH,Gujarat
MANDVI (ST),Gujarat
MEHSANA,Gujarat
PATAN (SC),Gujarat
PORBANDAR,Gujarat
RAJKOT,Gujarat
SABARKANTHA,Gujarat
SURAT,Gujarat
SURENDRANAGAR,Gujarat
AMBALA (SC),Haryana
BHIWANI,Haryana
FARIDABAD,Haryana
HISSAR,Haryana
KARNAL,Haryana
KURUKSHETRA,Haryana
MAHENDRAGARH,Haryana
ROHTAK,Haryana
SIRSA (SC),Haryana
SONEPAT,Haryana
HAMIRPUR,Himachal Pradesh
KANGRA,Himachal Pradesh
MANDI,Himachal Pradesh
SHIMLA (SC),Himachal Pradesh
BAGALKOT,Karnataka
BANGALORE NORTH,Karnataka
BANGALORE SOUTH,Karnataka
BELGAUM,Karnataka
BELLARY,Karnataka
BIDAR (SC),Karnataka
BIJAPUR,Karnataka
CHAMRAJANAGAR (SC),Karnataka
CHIKBALLAPUR,Karnataka
CHIKKODI (SC),Karnataka
CHIKMAGALUR,Karnataka
CHITRADURGA,Karnataka
DAVANGERE,Karnataka
DHARWAD NORTH,Karnataka
DHARWAD SOUTH,Karnataka
GULBARGA,Karnataka
HASSAN,Karnataka
KANAKAPURA,Karnataka
KANARA,Karnataka
KOLAR (SC),Karnataka
KOPPAL,Karnataka
MANDYA,Karnataka
MANGALORE,Karnataka
MYSORE,Karnataka
RAICHUR,Karnataka
SHIMOGA,Karnataka
TUMKUR,Karnataka
UDUPI,Karnataka
ADOOR (SC),Kerala
ALLEPPEY,Kerala
BADAGARA,Kerala
CALICUT,Kerala
CANNANORE,Kerala
CHIRAYINKIL,Kerala
ERNAKULAM,Kerala
IDUKKI,Kerala
KASARAGOD,Kerala
KOTTAYAM,Kerala
MANJERI,Kerala
MAVELIKARA,Kerala
MUKUNDAPURAM,Kerala
MUVATTUPUZHA,Kerala
OTTAPALAM (SC),Kerala
PALGHAT,Kerala
PONNANI,Kerala
QUILON,Kerala
TRICHUR,Kerala
TRIVANDRUM,Kerala
BALAGHAT,Madhya Pradesh
BASTAR (ST),Madhya Pradesh
BETUL,Madhya Pradesh
BHIND,Madhya Pradesh
BHOPAL,Madhya Pradesh
BILASPUR (SC),Madhya Pradesh
CHHINDWARA,Madhya Pradesh
DAMOH,Madhya Pradesh
DHAR (ST),Madhya Pradesh
DURG,Madhya Pradesh
GUNA,Madhya Pradesh
GWALIOR,Madhya Pradesh
HOSHANGABAD,Madhya Pradesh
INDORE,Madhya Pradesh
JABALPUR,Madhya Pradesh
JANJGIR,Madhya Pradesh
JHABUA (ST),Madhya Pradesh
KANKER (ST),Madhya Pradesh
KHAJURAHO,Madhya Pradesh
KHANDWA,Madhya Pradesh
KHARGONE,Madhya Pradesh
MAHASAMUND,Madhya Pradesh
MANDLA (ST),Madhya Pradesh
MANDSAUR (ST),Madhya Pradesh
MORENA (SC),Madhya Pradesh
RAIGARH (ST),Madhya Pradesh
RAIPUR,Madhya Pradesh
RAJGARH,Madhya Pradesh
RAJNANDGAON,Madhya Pradesh
REWA,Madhya Pradesh
SAGAR (SC),Madhya Pradesh
SARANGARH (SC),Madhya Pradesh
SATNA,Madhya Pradesh
SEONI,Madhya Pradesh
SHAHDOL (ST),Madhya Pradesh
SHAJAPUR (SC),Madhya Pradesh
SIDHI (ST),Madhya Pradesh
SURGUJA (ST),Madhya Pradesh
UJJAIN (SC),Madhya Pradesh
VIDISHA,Madhya Pradesh
AHMEDNAGAR,Maharashtra
AKOLA,Maharashtra
AMRAVATI,Maharashtra
AURANGABAD,Maharashtra
BARAMATI,Maharashtra
BHANDARA,Maharashtra
BEED,Maharashtra
BOMBAY NORTH CENTRAL,Maharashtra
BOMBAY NORTH EAST,Maharashtra
BOMBAY NORTH WEST,Maharashtra
BOMBAY SOUTH,Maharashtra
BOMBAY SOUTH CENTRAL,Maharashtra
BULDHANA (SC),Maharashtra
CHANDRAPUR,Maharashtra
CHIMUR,Maharashtra
DAHANU (ST),Maharashtra
DHULE,Maharashtra
ERANDOL,Maharashtra
HINGOLI,Maharashtra
ICHALKARANJI,Maharashtra
JALGAON,Maharashtra
JALNA,Maharashtra
KARAD,Maharashtra
KHED,Maharashtra
KOLHAPUR ,Maharashtra
KOPARGAON,Maharashtra
KOLABA,Maharashtra
LATUR,Maharashtra
MALEGAON (ST),Maharashtra
NAGPUR,Maharashtra
NANDED,Maharashtra
NANDURBAR (ST),Maharashtra
NASHIK,Maharashtra
NORTH BOMBAY,Maharashtra
OSMANABAD (SC),Maharashtra
PANDHARPUR (SC),Maharashtra
PARBHANI,Maharashtra
PUNE,Maharashtra
RAJAPUR,Maharashtra
RAMTEK,Maharashtra
RATNAGIRI,Maharashtra
SANGLI,Maharashtra
SATARA,Maharashtra
SHOLAPUR,Maharashtra
THANE,Maharashtra
WARDHA,Maharashtra
WASHIM,Maharashtra
YAVATMAL,Maharashtra
ASKA,Orissa
BALASORE,Orissa
BERHAMPUR,Orissa
BHADRAK (SC),Orissa
BHUBANESWAR,Orissa
BOLANGIR,Orissa
CUTTACK,Orissa
DEOGARH,Orissa
DHENKANAL,Orissa
JAGATSINGHPUR,Orissa
JAJPUR (SC),Orissa
KALAHANDI,Orissa
KENDRAPARA,Orissa
KEONJHAR (ST),Orissa
KORAPUT (ST),Orissa
MAYURBHANJ (ST),Orissa
NOWRANGPUR (ST),Orissa
PHULBANI (SC),Orissa
PURI,Orissa
SAMBALPUR,Orissa
SUNDARGARH (ST),Orissa
AMRITSAR,Punjab
BHATINDA (SC),Punjab
FARIDKOT,Punjab
FEROZEPUR,Punjab
GURDASPUR,Punjab
HOSHIARPUR,Punjab
JULLUNDUR,Punjab
LUDHIANA,Punjab
PATIALA,Punjab
PHILLAUR (SC),Punjab
ROPAR,Punjab
SANGRUR,Punjab
TARN TARAN,Punjab
AJMER,Rajasthan
ALWAR,Rajasthan
BANSWARA (ST),Rajasthan
BARMER,Rajasthan
BAYANA (SC),Rajasthan
BHARATPUR,Rajasthan
BHILWARA,Rajasthan
BIKANER,Rajasthan
CHITTORGARH,Rajasthan
CHURU,Rajasthan
DAUSA,Rajasthan
GANGANAGAR (SC),Rajasthan
JAIPUR,Rajasthan
JALORE (SC),Rajasthan
JHALAWAR,Rajasthan
JHUNJHUNU,Rajasthan
JODHPUR,Rajasthan
KOTA,Rajasthan
NAGAUR,Rajasthan
PALI,Rajasthan
SALUMBER (ST),Rajasthan
SAWAI MADHOPUR (ST),Rajasthan
SIKAR,Rajasthan
TONK (SC),Rajasthan
UDAIPUR,Rajasthan
ARAKKONAM,Tamil Nadu
CHENGALPATTU,Tamil Nadu
CHIDAMBARAM (SC),Tamil Nadu
COIMBATORE,Tamil Nadu
CUDDALORE,Tamil Nadu
DHARMAPURI,Tamil Nadu
DINDIGUL,Tamil Nadu
GOBICHETTIPALAYAM,Tamil Nadu
KARUR,Tamil Nadu
KRISHNAGIRI,Tamil Nadu
MADRAS CENTRAL,Tamil Nadu
MADRAS NORTH,Tamil Nadu
MADRAS SOUTH,Tamil Nadu
MADURAI,Tamil Nadu
MAYILADUTURAI,Tamil Nadu
NAGAPATTINAM (SC),Tamil Nadu
NAGERCOIL ,Tamil Nadu
NILGIRIS,Tamil Nadu
PALANI,Tamil Nadu
PUDUKKOTTAI,Tamil Nadu
PERAMBALUR (SC),Tamil Nadu
PERIYAKULAM,Tamil Nadu
POLLACHI (SC),Tamil Nadu
RAMANATHAPURAM,Tamil Nadu
RASIPURAM (SC),Tamil Nadu
SALEM,Tamil Nadu
SIVAGANGA,Tamil Nadu
SIVAKASI,Tamil Nadu
SRIPERUMBUDUR (SC),Tamil Nadu
TENKASI (SC),Tamil Nadu
THANJAVUR,Tamil Nadu
TINDIVANAM,Tamil Nadu
TIRUCHENDUR,Tamil Nadu
TIRUCHENGODE,Tamil Nadu
TIRUCHIRAPPALLI,Tamil Nadu
TIRUNELVELI,Tamil Nadu
TIRUPPATTUR,Tamil Nadu
VANDAVASI,Tamil Nadu
VELLORE,Tamil Nadu
AGRA,Uttar Pradesh
AKBARPUR (SC),Uttar Pradesh
ALIGARH,Uttar Pradesh
ALLAHABAD,Uttar Pradesh
ALMORA,Uttar Pradesh
AMETHI,Uttar Pradesh
AMROHA,Uttar Pradesh
AONLA,Uttar Pradesh
AZAMGARH,Uttar Pradesh
BAGHPAT,Uttar Pradesh
BAHRAICH,Uttar Pradesh
BALLIA,Uttar Pradesh
BALRAMPUR,Uttar Pradesh
BANSGAON (SC),Uttar Pradesh
BANDA,Uttar Pradesh
BARA BANKI (SC),Uttar Pradesh
BAREILLY,Uttar Pradesh
BASTI (SC),Uttar Pradesh
BIJNOR (SC),Uttar Pradesh
BILHAUR,Uttar Pradesh
BUDAUN,Uttar Pradesh
BULANDSHAHR,Uttar Pradesh
CHAIL,Uttar Pradesh
CHANDAULI,Uttar Pradesh
DEORIA,Uttar Pradesh
DOMARIAGANJ,Uttar Pradesh
ETAH,Uttar Pradesh
ETAWAH,Uttar Pradesh
FAIZABAD,Uttar Pradesh
FARRUKHABAD,Uttar Pradesh
FATEHPUR,Uttar Pradesh
FIROZABAD (SC),Uttar Pradesh
GARHWAL,Uttar Pradesh
GHATAMPUR (SC),Uttar Pradesh
GHAZIPUR,Uttar Pradesh
GHOSI,Uttar Pradesh
GONDA,Uttar Pradesh
GORAKHPUR,Uttar Pradesh
HAMIRPUR,Uttar Pradesh
HAPUR,Uttar Pradesh
HARDOI (SC),Uttar Pradesh
HARDWAR (SC),Uttar Pradesh
HATHRAS (SC),Uttar Pradesh
JALAUN (SC),Uttar Pradesh
JALESAR,Uttar Pradesh
JAUNPUR,Uttar Pradesh
JHANSI,Uttar Pradesh
KAIRANA,Uttar Pradesh
KAISERGANJ,Uttar Pradesh
KANNAUJ,Uttar Pradesh
KANPUR,Uttar Pradesh
KHALILABAD,Uttar Pradesh
KHERI,Uttar Pradesh
KHURJA (SC),Uttar Pradesh
LALGANJ (SC),Uttar Pradesh
LUCKNOW,Uttar Pradesh
MACHHLISHAHR,Uttar Pradesh
MAHARAJGANJ,Uttar Pradesh
MAINPURI,Uttar Pradesh
MATHURA,Uttar Pradesh
MEERUT,Uttar Pradesh
MIRZAPUR,Uttar Pradesh
MISRIKH (SC),Uttar Pradesh
MOHANLALGANJ (SC),Uttar Pradesh
MORADABAD,Uttar Pradesh
MUZAFFARNAGAR,Uttar Pradesh
NAINITAL,Uttar Pradesh
PADRAUNA,Uttar Pradesh
PHULPUR,Uttar Pradesh
PILIBHIT,Uttar Pradesh
PRATAPGARH,Uttar Pradesh
RAE BARELI,Uttar Pradesh
RAMPUR,Uttar Pradesh
ROBERTSGANJ (SC),Uttar Pradesh
SAHARANPUR,Uttar Pradesh
SAIDPUR (SC),Uttar Pradesh
SALEMPUR,Uttar Pradesh
SAMBHAL,Uttar Pradesh
SHAHABAD,Uttar Pradesh
SHAHJAHANPUR,Uttar Pradesh
SITAPUR,Uttar Pradesh
SULTANPUR,Uttar Pradesh
TEHRI GARHWAL,Uttar Pradesh
UNNAO,Uttar Pradesh
VARANASI,Uttar Pradesh
ALIPURDUARS (ST) ,West Bengal
ASANSOL,West Bengal
ARAMBAGH ,West Bengal
BALURGHAT (SC),West Bengal
BANKURA,West Bengal
BARASAT,West Bengal
BARRACKPORE,West Bengal
BASIRHAT ,West Bengal
BERHAMPORE ,West Bengal
BIRBHUM (SC) ,West Bengal
BOLPUR,West Bengal
BURDWAN,West Bengal
CALCUTTA NORTH EAST,West Bengal
CALCUTTA NORTH WEST,West Bengal
CALCUTTA SOUTH,West Bengal
CONTAI,West Bengal
COOCH BEHAR (SC),West Bengal
DARJEELING,West Bengal
DIAMOND HARBOUR,West Bengal
DUM DUM,West Bengal
DURGAPUR (SC),West Bengal
HOOGHLY,West Bengal
HOWRAH,West Bengal
JADAVPUR,West Bengal
JALPAIGURI,West Bengal
JANGIPUR,West Bengal
JHARGRAM (ST),West Bengal
JOYNAGAR (SC),West Bengal
KATWA,West Bengal
KRISHNAGAR,West Bengal
MALDA,West Bengal
MATHURAPUR (SC),West Bengal
MIDNAPORE,West Bengal
MURSHIDABAD,West Bengal
NABADWIP (SC),West Bengal
PANSKURA,West Bengal
PURULIA,West Bengal
RAIGANJ,West Bengal
SERAMPORE,West Bengal
TAMLUK,West Bengal
ULUBERIA,West Bengal
VISHNUPUR (SC),West Bengal
